======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
                 4.7%  [665]     11/11            28 java/lang/ThreadLocal$Values.access$100 (Ljava/lang/ThreadLocal$Values;)I
----------------------------------------------------
                55.2%   [17]      1/7            321 com/android/internal/widget/ActionBarView.initTitle ()V
                33.4%  [272]      4/7            194 android/widget/ImageView.setVisibility (I)V
                 6.2%   [16]      1/7             36 com/android/internal/widget/ActionBarView.setDisplayOptions (I)V
                 5.2%  [299]      1/7             30 com/android/internal/widget/ActionBarView.setTitleImpl (Ljava/lang/CharSequence;)V
[222]    0.6%                     7+0            581 android/view/View.setVisibility (I)V
                 9.6%   excl                      56
                60.9%   [64]      7/72           354 android/view/View.setFlags (II)V
                29.4%  [351]      3/7            171 android/graphics/drawable/DrawableContainer.setVisible (ZZ)Z
----------------------------------------------------
               100.0%  [116]      2/2            579 android/sec/enterprise/ApplicationPolicy.getApplicationIconFromDb (Ljava/lang/String;)[B
[223]    0.6%                     2+0            579 android/sec/enterprise/IEDMProxy$Stub$Proxy.getApplicationIconFromDb (Ljava/lang/String;)[B
                12.8%   excl                      74
                32.8%  [135]      2/12           190 android/os/BinderProxy.transact (ILandroid/os/Parcel;Landroid/os/Parcel;I)Z
                15.4%  [230]      4/25            89 android/os/Parcel.recycle ()V
                11.1%  [264]      2/12            64 android/os/Parcel.writeInterfaceToken (Ljava/lang/String;)V
                 9.7%  [558]      2/2             56 android/os/Parcel.createByteArray ()[B
                 9.5%  [349]      2/9             55 android/os/Parcel.readException ()V
                 6.7%  [376]      2/11            39 android/os/Parcel.writeString (Ljava/lang/String;)V
                 2.1%  [386]      4/25            12 android/os/Parcel.obtain ()Landroid/os/Parcel;
----------------------------------------------------
               100.0%  [194]     19/19           578 java/lang/StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;
[224]    0.6%                    19+0            578 java/lang/AbstractStringBuilder.append0 (Ljava/lang/String;)V
                37.5%   excl                     217
                34.1%  [378]     19/19           197 java/lang/String._getChars (II[CI)V
                18.7%  [476]      9/9            108 java/lang/AbstractStringBuilder.enlargeBuffer (I)V
                 9.7%  [355]     19/70            56 java/lang/String.length ()I
----------------------------------------------------
                37.3%   [18]     11/31           210 android/view/View.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
                32.1%  [250]     11/31           181 android/view/View.recomputePadding ()V
                26.6%   [58]      8/31           150 android/view/View.setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
                 3.9%  [433]      1/31            22 com/android/internal/policy/impl/PhoneWindow$DecorView.drawableChanged ()V
[225]    0.5%                    31+0            563 android/view/ViewGroup.setPadding (IIII)V
                40.0%   excl                     225
                60.0%  [233]     31/47           338 android/view/View.setPadding (IIII)V
----------------------------------------------------
               100.0%    [3]      1/10           557 com/android/internal/policy/impl/PhoneWindow.installDecor ()V
               +++++++++++++++++++++++++
                       [226]      9/10          1687 android/view/ViewGroup.makeOptionalFitsSystemWindows ()V
[226]    0.5%                     1+9            557 android/view/ViewGroup.makeOptionalFitsSystemWindows ()V
                 2.0%   excl                      11
                92.8%  [226]      1/10           517 android/view/ViewGroup.makeOptionalFitsSystemWindows ()V
                 5.2%  [262]      1/15            29 android/view/View.makeOptionalFitsSystemWindows ()V
               +++++++++++++++++++++++++
                       [226]      8/10          1170 android/view/ViewGroup.makeOptionalFitsSystemWindows ()V
                       [262]     14/15           389 android/view/View.makeOptionalFitsSystemWindows ()V
----------------------------------------------------
               100.0%  [100]     19/19           554 android/view/View.resolveLayoutDirection ()V
[227]    0.5%                    19+0            554 android/view/View.hasRtlSupport ()Z
                33.9%   excl                     188
                54.9%  [219]     19/37           304 android/content/ContextWrapper.getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
                11.2%  [545]     19/19            62 android/content/pm/ApplicationInfo.hasRtlSupport ()Z
----------------------------------------------------
               100.0%    [7]      1/1            554 com/android/internal/policy/impl/PhoneWindow.generateLayout (Lcom/android/internal/policy/impl/PhoneWindow$DecorView;)Landroid/view/ViewGroup;
[228]    0.5%                     1+0            554 com/android/internal/policy/impl/PhoneWindow$DecorView.setWindowBackground (Landroid/graphics/drawable/Drawable;)V
                 8.8%   excl                      49
                85.7%  [248]      1/1            475 com/android/internal/policy/impl/PhoneWindow$DecorView.setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
                 4.3%  [323]      1/5             24 android/graphics/drawable/DrawableContainer.getPadding (Landroid/graphics/Rect;)Z
                 0.5%  [860]      1/2              3 android/view/View.getBackground ()Landroid/graphics/drawable/Drawable;
                 0.5%  [433]      1/2              3 com/android/internal/policy/impl/PhoneWindow$DecorView.drawableChanged ()V
----------------------------------------------------
               100.0%  [154]     99/99           531 android/content/res/Resources.access$000 (Landroid/content/res/Resources;I)Landroid/content/res/TypedArray;
[229]    0.5%                    99+0            531 android/content/res/Resources.getCachedStyledAttributes (I)Landroid/content/res/TypedArray;
                93.8%   excl                     498
                 6.2%  [631]      3/3             33 android/content/res/TypedArray.<init> (Landroid/content/res/Resources;[I[II)V
----------------------------------------------------
                23.1%   [72]      4/25           122 android/content/pm/IPackageManager$Stub$Proxy.getActivityInfo (Landroid/content/ComponentName;II)Landroid/content/pm/ActivityInfo;
                16.9%  [223]      4/25            89 android/sec/enterprise/IEDMProxy$Stub$Proxy.getApplicationIconFromDb (Ljava/lang/String;)[B
                12.1%  [216]      4/25            64 android/os/ServiceManagerProxy.getService (Ljava/lang/String;)Landroid/os/IBinder;
                10.4%  [113]      2/25            55 android/app/ActivityManagerProxy.getContentProvider (Landroid/app/IApplicationThread;Ljava/lang/String;Z)Landroid/app/IActivityManager$ContentProviderHolder;
                 9.9%  [247]      2/25            52 android/view/accessibility/IAccessibilityManager$Stub$Proxy.addClient (Landroid/view/accessibility/IAccessibilityManagerClient;)I
                 6.6%  [331]      2/25            35 android/app/ActivityManagerProxy.getWindowMode (Landroid/os/IBinder;)I
                 6.3%  [188]      2/25            33 android/content/ContentProviderProxy.call (Ljava/lang/String;Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle;
                 6.1%  [345]      2/25            32 android/view/IWindowManager$Stub$Proxy.hasSystemNavBar ()Z
                 5.5%  [403]      2/25            29 android/view/IWindowManager$Stub$Proxy.hasNavigationBar ()Z
                 3.0%  [406]      1/25            16 android/os/Bundle.unparcel ()V
[230]    0.5%                    25+0            527 android/os/Parcel.recycle ()V
                34.9%   excl                     184
                65.1%  [292]     25/25           343 android/os/Parcel.freeBuffer ()V
----------------------------------------------------
                44.9%   [10]     19/45           235 android/view/LayoutInflater.createView (Ljava/lang/String;Ljava/lang/String;Landroid/util/AttributeSet;)Landroid/view/View;
                33.8%   [42]     19/45           177 android/provider/Settings$NameValueCache.getString (Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;
                 6.5%  [389]      1/45            34 android/app/ActivityThread.getTopLevelResources (Ljava/lang/String;Landroid/content/res/CompatibilityInfo;)Landroid/content/res/Resources;
                 4.6%  [201]      2/45            24 android/os/ServiceManager.getService (Ljava/lang/String;)Landroid/os/IBinder;
                 3.6%  [638]      1/45            19 android/app/ApplicationPackageManager.getCachedIcon (Landroid/app/ApplicationPackageManager$ResourceName;)Landroid/graphics/drawable/Drawable;
                 2.5%  [245]      1/45            13 android/app/ActivityThread.installProvider (Landroid/content/Context;Landroid/app/IActivityManager$ContentProviderHolder;Landroid/content/pm/ProviderInfo;ZZZ)Landroid/app/IActivityManager$ContentProviderHolder;
